event_id,artist,tour,city,region,venue,show_datetime,face_prices,onsale_datetime,official_url,secondary_url,piaoniu_url,priority,active
mtl_6a38d71dd215b10001dba2d3,王铮亮,王铮亮Time Echo巡回演唱会-重庆站,重庆,CN,重庆华熙生物·润百颜ECM中心,2026-08-22T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a38d71dd215b10001dba2d3,https://x.piaoniu.com/activity/778810,auto,true
mtl_6a068dc7ca825e0001b80425,韦礼安,2026韦礼安【HI WE1韦，您好】巡回演唱会-武汉站,武汉,CN,光谷国际网球中心(中央球场),2026-08-01T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a068dc7ca825e0001b80425,https://x.piaoniu.com/activity/776918,auto,true
mtl_6a461005b6efd80001ffdcb2,韦礼安,2026 韦礼安「HI WE1 韦，您好」巡回演唱会-杭州站,杭州,CN,黄龙体育中心（体育馆）,2026-08-22T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a461005b6efd80001ffdcb2,https://x.piaoniu.com/activity/780641,auto,true
mtl_6a632197cdd623000129956b,韦礼安,2026韦礼安「HI WE1 韦，您好」巡回演唱会-广州站,广州,CN,广州亚运城综合体育馆,2026-09-19T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a632197cdd623000129956b,https://x.piaoniu.com/activity/782200,auto,true
mtl_6a509ef49087dd0001f7f2e5,韦礼安, 韦礼安+蔡旻佑--如果可以我可以演唱会,重庆,CN,重庆华熙生物·润百颜ECM中心,2026-09-12T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a509ef49087dd0001f7f2e5,,auto,true
mtl_69e9f4ef42fea40001e6d8a3,陈粒,2026陈粒「一粒」十周年巡回演唱会,合肥,CN,合肥少荃体育中心体育馆,2026-08-15T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69e9f4ef42fea40001e6d8a3,https://x.piaoniu.com/activity/769037,auto,true
mtl_69ce02c7a257fe000107dfe3,陈粒,陈粒「一粒」十周年巡回演唱会,沈阳,CN,三生制药体育馆（原辽宁体育馆）,2026-08-22T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=69ce02c7a257fe000107dfe3,https://x.piaoniu.com/activity/768917,auto,true
mtl_6a4c8d4a84dbb00001456dad,陈粒,陈粒「一粒」十周年巡回演唱会-诸暨站,绍兴,CN,西施篮球中心,2026-09-05T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a4c8d4a84dbb00001456dad,https://x.piaoniu.com/activity/780829,auto,true
mtl_6a4c641574557b000170175d,陈粒,陈粒「一粒」十周年巡回演唱会-郑州站,郑州,CN,郑州奥林匹克体育中心-洋河·梦之蓝体育馆,2026-09-12T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a4c641574557b000170175d,https://x.piaoniu.com/activity/768847,auto,true
mtl_6a63073cce972400012c26a8,陈粒,陈粒「一粒」十周年巡回演唱会-临沂站,临沂,CN,临沂奥体公园体育馆,2026-10-24T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a63073cce972400012c26a8,https://x.piaoniu.com/activity/775266,auto,true
mtl_6a6ad2c9484642000185b635,刘若英,刘若英 [飞行日] 2026巡回演唱会-重庆站,重庆,CN,重庆华熙生物·润百颜ECM中心,2026-10-17T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a6ad2c9484642000185b635,https://x.piaoniu.com/activity/782066,auto,true
mtl_6a6ac86e0ac7750001aa33dc,刘若英,刘若英 [飞行日] 2026巡回演唱会-澳门站,澳门,MO,澳门银河综艺馆Galaxy Arena,2026-10-03T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a6ac86e0ac7750001aa33dc,https://x.piaoniu.com/activity/782520,auto,true
mtl_6a6c4b6bcdc34e00016237c2,周杰伦,Time Machine Carnival 2026 Jay Chou World Tour Concert In  Guangzhou,广州,CN,Guangzhou Higher Education Mega Center Sports Cent,2026-12-04T19:00,,,,https://www.moretickets.com/show-detail/jay-gaungzhou-2026-concert?showId=6a6c4b6bcdc34e00016237c2&tourId=69c4a519ab997a00010ab1a9,,auto,true
mtl_6a6c19e6dea14000016b598a,袁娅维, TIA RAY Once Upon A Moon WORLD TOUR IN KUALA LUMPUR,澳门,MO,IDEA LIVE KL,2026-08-08T19:00,,,,https://www.moretickets.com/show-detail/tiaray-kualalumpur-2026-concert?showId=6a6c19e6dea14000016b598a&tourId=6a6c194d0f11ce0001e0b2bf,,auto,true
mtl_6a6c3e4af000450001c61976,单依纯,单依纯「纯妹妹2.0」2026巡回演唱会-成都站,成都,CN,五粮液文化体育中心-综合体育馆,2026-09-12T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a6c3e4af000450001c61976,https://x.piaoniu.com/activity/782815,auto,true
mtl_6a6c4df63fb6230001fba560,林宥嘉,林宥嘉《超级管家》世界巡回演唱会 深圳站,深圳,CN,华润深圳湾体育中心＂春茧＂体育场 ,2026-10-30T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a6c4df63fb6230001fba560,https://x.piaoniu.com/activity/782700,auto,true
mtl_6a707f872d053000016891a0,薛之谦,"Joker Xue ""King of Beasts"" 2026 World Tour in Shen Zhen",深圳,CN,Shenzhen Universiade Sports Centre Stadium,2026-08-21T19:00,,,,https://www.moretickets.com/show-detail/jokerxue-shenzhen-2026-concert?showId=6a707f872d053000016891a0&tourId=6a707ecd42d2eb0001202ea7,https://x.piaoniu.com/activity/782318,auto,true
mtl_6a72db46b2c6b200015160d5,刘若英,刘若英[飞行日]2026巡回演唱会-大连站,大连,CN,大连体育中心体育馆,2026-10-31T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a72db46b2c6b200015160d5,https://x.piaoniu.com/activity/782141,auto,true
mtl_6a757bf1cc0783000165d12f,张靓颖,"""Chasing"" Jane Zhang World Tour Final Stop In Macau",澳门,MO,Galaxy Arena,2026-10-10T19:00,,,,https://www.moretickets.com/show-detail/janezhang-macau-2026-concert?showId=6a757bf1cc0783000165d12f&tourId=693124c97eadd900013510b1,https://x.piaoniu.com/activity/783079,auto,true
mtl_6a770001514d950001698ad4,林宥嘉,林宥嘉《超级管家》巡回演唱会 苏州站,苏州,CN,苏州奥林匹克体育中心体育场,2026-10-17T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a770001514d950001698ad4,https://x.piaoniu.com/activity/783181,auto,true
mtl_6a79af8d0f007b0001b5f3ae,周深,ZHOUSHEN 2026 SHENSHEN'S CONCERT TOUR IN TAIZHOU,Taizhou,CN,Taizhou Sports Center Stadium,2026-09-12T19:00,,,,https://www.moretickets.com/show-detail/zhoushen-taizhou-2026-concert?showId=6a79af8d0f007b0001b5f3ae&tourId=6a1137a331184d000141a434,,auto,true
mtl_6a7ac6d05664b200019f2ca8,周杰伦,幸福 福州 嘉年华2027周杰伦 巡回演唱会,福州,CN,福州待定,2027-03-26T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a7ac6d05664b200019f2ca8,,auto,true
mtl_6a7c1c1dfd9fd40001e5c9cd,汪苏泷,汪苏泷2026「明日世界」世界巡回演唱会,西安,CN,西安待定,2026-10-09T19:00,,,,https://www.motianlun.cn/show-detail/show-detail?showId=6a7c1c1dfd9fd40001e5c9cd,,auto,true
